name,from_lat,from_lon,to_lat,to_lon,free_from,distance,reverse_distance
Altlindenau,51.3389037,12.323057552348168,51.3400124,12.3347023,2023-06-06 00:00:36,818.2317834873066,0.0012221475872496623
Karl-Heine-Straße,51.3389037,12.323057552348168,51.3321577,12.3487401,2023-06-06 00:00:36,1935.4405957706526,0.0005166782189984087
Innenstadt,51.3381631,12.3880931,51.3428087,12.3571118,2023-07-01 00:00:36,2213.166967468699,0.0004518411916945182
Augustusplatz,51.3381631,12.3880931,51.33881875,12.380698004770004,2023-07-01 00:00:36,518.8515199002043,0.0019273336622244832
Johannisplatz,51.3381631,12.3880931,51.337709450000006,12.386501176268977,2023-07-01 00:00:36,121.54678765735146,0.008227284482573633
Johannisplatz,51.3381631,12.3880931,51.337709450000006,12.386501176268977,2023-07-01 00:00:36,121.54678765735146,0.008227284482573633
Johannisplatz,51.3381631,12.3880931,51.337709450000006,12.386501176268977,2023-07-01 00:00:36,121.54678765735146,0.008227284482573633
Johannisplatz,51.3381631,12.3880931,51.337709450000006,12.386501176268977,2023-07-01 00:00:36,121.54678765735146,0.008227284482573633
Hauptbahnhof,51.3381631,12.3880931,51.3439179,12.3801743,2023-07-01 00:00:36,843.822206196147,0.0011850837684254417
Augustusplatz,51.3381631,12.3880931,51.33881875,12.380698004770004,2023-07-01 00:00:36,518.8515199002043,0.0019273336622244832
Johannisplatz,51.3381631,12.3880931,51.337709450000006,12.386501176268977,2023-07-01 00:00:36,121.54678765735146,0.008227284482573633
Johannisplatz,51.3381631,12.3880931,51.337709450000006,12.386501176268977,2023-07-01 00:00:36,121.54678765735146,0.008227284482573633
Weißen Elster,51.3322073,12.3487861,51.322310599999994,12.336304745475049,2023-06-15 00:00:36,1401.1126247923578,0.0007137184993591776
Clara-Zetkin Park,51.3322073,12.3487861,51.33050505,12.358850998005359,2023-06-15 00:00:36,724.436877021696,0.0013803825173991677
Konsum,51.3322073,12.3487861,51.3114797,12.3795616,2023-06-15 00:00:36,3144.16619215658,0.00031804934564037823
Eutritzsch,51.374584850000005,12.383245036479067,51.3707642,12.3873287,2023-06-15 00:00:36,510.722199099491,0.001958011619160489
Völkerschlachtdenkmal,51.3199913,12.4168138,51.3124744,12.413515851638085,2023-07-01 00:00:36,866.6979170066228,0.0011538045498641237
Stötteritzer Wäldchen,51.3199913,12.4168138,51.3244519,12.421237253785176,2023-07-01 00:00:36,583.5225438284683,0.0017137298474177872
Eutritzscher Zentrum,51.36371055,12.38623236047584,51.3637096,12.3827593,2023-07-01 00:00:36,241.1251422501538,0.004147224095621502
Innenstadt,51.36371055,12.38623236047584,51.3428087,12.3571118,2023-07-01 00:00:36,3080.7782070535477,0.0003245933114271146
Stannebeinplatz,51.36371055,12.38623236047584,51.351186350000006,12.406471713413627,2023-07-01 00:00:36,1978.4929949828188,0.000505435198676902
Linh,51.36371055,12.38623236047584,51.3728025,12.3966538,2023-07-01 00:00:36,1243.1704471798369,0.0008043949261089057
Innenstadt,51.3698368,12.338022000223898,51.3428087,12.3571118,2023-07-01 00:00:36,3284.734541532627,0.0003044386045069594
Möckernscher,51.3698368,12.338022000223898,51.3690911,12.338993980603455,2023-07-01 00:00:36,106.90216634051592,0.009354347383519767
Slevogtstraße,51.3698368,12.338022000223898,51.3752334,12.3450055,2023-07-01 00:00:36,771.4103144789244,0.0012963269757100466
Innenstadt,51.3698368,12.338022000223898,51.3428087,12.3571118,2023-07-01 00:00:36,3284.734541532627,0.0003044386045069594
Uni,51.3698368,12.338022000223898,51.33845385,12.37863856850984,2023-07-01 00:00:36,4486.939272031863,0.00022286907385469484
Rosenthal,51.3698368,12.338022000223898,51.3529361,12.3617394,2023-07-01 00:00:36,2498.668336380176,0.0004002131797326497
Auensee,51.3698368,12.338022000223898,51.36896685,12.319179543737192,2023-07-01 00:00:36,1311.5898769569258,0.0007624334539087337
Konradstraße,51.3446913,12.4067618,51.3443548,12.4120384,2023-07-01 00:00:36,368.3985025396604,0.002714451858805652
Konradstraße,51.3446913,12.4067618,51.3443548,12.4120384,2023-07-01 00:00:36,368.3985025396604,0.002714451858805652
Konradstraße,51.3446913,12.4067618,51.3443548,12.4120384,2023-07-01 00:00:36,368.3985025396604,0.002714451858805652
Rabet,51.3446913,12.4067618,51.344070450000004,12.403435321472916,2023-07-01 00:00:36,241.13904899044718,0.0041469849208852745
Konradstraße,51.3446913,12.4067618,51.3443548,12.4120384,2023-07-01 00:00:36,368.3985025396604,0.002714451858805652
Konradstraße,51.3446913,12.4067618,51.3443548,12.4120384,2023-07-01 00:00:36,368.3985025396604,0.002714451858805652
Wilhelm-Leuschner Platz,51.3348188,12.3786759,51.3343111,12.3741402,2023-07-15 00:00:36,320.1188222676722,0.003123840057001818
Innenstadt,51.3348188,12.3786759,51.3428087,12.3571118,2023-07-15 00:00:36,1741.6011182529153,0.0005741842891115897
Wilhelm-Leuschner Platz,51.3348188,12.3786759,51.3343111,12.3741402,2023-07-15 00:00:36,320.1188222676722,0.003123840057001818
Augustusplatz,51.3348188,12.3786759,51.33881875,12.380698004770004,2023-07-15 00:00:36,466.42933295646753,0.0021439474950288584
Gewandhaus,51.3348188,12.3786759,51.337807549999994,12.380613397308753,2023-07-15 00:00:36,358.5550961720249,0.002788971655056961
Karli,51.31628225,12.3764153,51.3206349,12.3736195,2023-07-08 00:00:36,521.5361575883828,0.001917412600161924
Connewitz,51.31628225,12.3764153,51.3032502,12.3720368,2023-07-08 00:00:36,1480.7128627549234,0.0006753503836925286
