Street,Address,rent_cold,additional_cost,free_from,distance,gadgets,female_roommates,male_roommates,divers_roommates,room_description,location_description,flat_live,additional,smoker,accessible,kind_of_flat,Url,type,district,size,price,link
Lausner Weg 17a,04207 Leipzig Kleinzschocher,255,105,01.08.2023,7,"Waschmaschine,Spülmaschine,Terrasse,Gartenmitbenutzung",1,1,0.0," Das Zimmer liegt im 1. OG. wie auch das Bad mit Dusche und Wanne. Die anderen WG-Räume sind auch auf dieser Etage. 
 Durch zwei Fenster ist es ein schöner heller Raum. 
 Im Erdgeschoss ist die große Wohnküche mit Sitzecke und Ausgang zur Terrasse. Waschmaschine/Spülmaschine usw. ist alles da. Auch zwei Kühlschränke mit genügend Platz. 
 Eine eigene Terrasse (Grillplatz) ist auch da."," Die Wohnung liegt im Siedlungsgebiet an der Schönauer Straße. Zur Buslinie sind es ca. 6 Min zu Fuß. ZurStraßenbahn sind es ca. 10 Minuten zu gehen. 
 Es gibt einen überdachten Fahrrad-Stellplatz auf dem Grundstück. 
 Stellplätze für PKW sind in der Straße vorhanden und auch immer ein freier Platz zu finden.","Wie so oft steht zu dieser Zeit ein Bewohnerwechsel an. Wir (Annika und Nicolas) sind jetzt ein dreiviertel Jahr hier. 
 Die Kennenlern-Phase sollte unkompliziert sein, je nach Lust gibts gemeinsame Sachen (Grillplatz) :)"," Zum Kulkwitzer See und auch zum Cospudener See ""Cossi"" hast du es nicht sehr weit.",0.0,0,"keine Zweck-WG, gemischte WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Kleinzschocher.9555688.html,3er WG,Kleinzschocher,    15,360 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Kleinzschocher.9555688.html
Sebastian-Bach-Straße 16,04109 Leipzig Zentrum-West,280,0,21.09.2023,2,Balkon,1,2,0.0," Mein Zimmer ist in den Morgenstunden sehr sonnig und besitzt einige Pflänzchen, die sich über ein bisschen Wasser und Liebe freuen würden über die Zeit. Es wird alles vorhanden sein im Zimmer, ich werde allerdings ein paar Klamotten da lassen müssen in einer Schrankhälfte. :)"," Irgendwie zeigt WG Gesucht an, die Wohnung würde in Markkleeberg liegen. Tut sie aber definitiv nicht :D  Sie liegt im hübschen Zentrum -West. In zwei Minuten bist du sowohl im Johanna-Park, als auch im Clara-Park, welche zum Grillen, Picknicken, Sonnen, Joggen oder einfach zu einem entspannten Spaziergang am Fluss einladen. Mit dem Rad ist man in max. 10 Minuten am Bahnhof, in der Innenstadt, Südvorstadt, Plagwitz, Schleußig oder Lindenau. Wenn einem nicht die Laune nach Rad fahren ist, dann fahren eine Gehminute entfernt (einmal links um die Ecke) die Tram 1, 2, 32 und 34 ab (sind aber kaum zu hören). Einkaufsmöglichkeiten, sowie UPS & DPD sind zu Fuß in zwei Minuten (Konsum, Bäcker, Späti) bzw. mit dem Rad in fünf Minuten (Aldi, Rewe) erreichbar.","Meine lieben Mitbewohnerinnen:Ella will hoch hinaus. Wenn sie nicht gerade eine Wand hochklettert, bereichert sie die WG mit einem schier endlosen Vorrat an wunderbaren Kommentaren, Beobachtungen und Gedanken. Ihr Kichern bringt alle zum Schmelzen, sie ist Adoptivmama eines Gürteltiers im Zittauer Zoo und wenn du gekochte Eier magst, werdet ihr euch gut verstehen.Pascal wird die erste Zeit mit mir im Urlaub sein und dannab Oktober an der HGB anfangen. Wir sind alle ganz hyped für ihn! Neben künstlerischem Medienzeugs mag er noch Kaffee ganz gern und trinkt ihn literweise. Wenn du Glück hast landest du mit ihm in einem philosophischen Küchentalk.Till ist der Frischling in unserer bunten Runde und macht er ein Praktikum im Bereich Architektur. Nebenbei modelt er für das Plakat von Fridays for Future in Hannover. Er wird wahrscheinlich leider zu Oktober ausziehen und seinen Master woanders starten. Daher bleibt abzuwarten, ob ihr noch das Vergnügen haben werdet. :)Generell sind zuletzt alle viel mit Uni und Arbeit beschäftigt gewesen, trotzdem finden wir zwischendurch Zeit, um uns auf den neusten Stand zu bringen, vom Alltag abzulenken, auf einen Spaziergang zu gehen oder zum Brunch oder auf einen Drink zusammenzukommen. Es wäre schön, wenn du dem ganzen nicht abgeneigt bist und Lust auf ein harmonisches miteinander hast.Wir haben einen Putzplan, bei dem jede*r einmal im Monat dran ist und teilen uns die Kosten für ein paar grundlegende Nahrungsmittel. Ob das für dich passt, könnt ihr natürlich gemeinsam entscheiden :)Wichtig zu sagen ist zunächst, dass du dich auch gerne melden kannst, solltest du etwas weniger oder ein paar Tage länger als die angegebene Zeitbei uns bleiben wollen. Sag uns da einfach bescheid und wir können das sicher einrichten. Die angegebene Miete ist für den angegebenen Zeitraum berechnet, das würde sich je nachdem wie lange du bleibst anpassen.",,1.0,0,"Studenten-WG, keine Zweck-WG, gemischte WG, Vegetarisch/Vegan, Internationals welcome",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Zentrum-West.10131171.html,4er WG,Zentrum-West,    14,280 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Zentrum-West.10131171.html
Schlegelstraße 2,04275 Leipzig Südvorstadt,442,50,01.08.2023,5,"Waschmaschine,Spülmaschine,Balkon,Aufzug",2,1,0.0," Wir suchen für unsere WG eine/n Zwischenmieter/in, da ich für 6 Monate auf Achse bin. Die Wohnung hat insgesamt 130 qm mit 2 Bädern, jeweils einem Zimmer für die Bewohner/innen (4), eine offene Küche mit Kücheninsel und Zugang zum Balkon. Das Highlight ist das große, lichtdurchflutete Wohnzimmer. 
 Das zu beziehenden Zimmer hat 13 qm und kommt mit einem Schreibtisch, Regal und nach Absprache einem Schlafsofa. Zusätzlich gibt es direkt nebenan ein kleines Ankleidezimmer mit Regalen für die Klamotten. Zu beachten ist, dass eine große Schiebetür direkt ins Wohnzimmer führt, wodurch man das Zimmer bei Bedarf „vergrößern“ kann. Eine Jalousie sorgt in der Nacht für Dunkelheit und der Deckenventilator für die nötige Abkühlung.  
 Auf der Etage gibt es einen eigenen Abstellraum und zusätzlich eine abschließbare Fahrradgarage. Waschmaschine und Trockner, sowie ein Thermomix sind dabei.  
 Insgesamt ist die Wohnung sehr modern und es fehlt an nichts. 
